Distance_KM,Traffic_Level,Weather,Package_Weight_KG,Vehicle_Type,Driver_Experience_Years,Stop_Count,Hour_of_Day,Delivery_Time_Minutes,Peak_Hour
19.9779257046734,Medium,Rain,15.182832531656523,Van,8.143171985412078,5,15,112.56790251220008,0
47.634286707675976,Medium,Rain,13.085842452774967,Bike,12.493403923308442,2,8,158.4329622234289,1
37.135709206947446,Low,Clear,7.560520886008472,Truck,1.876333647546053,15,12,149.85697216142452,0
30.735607241457757,Low,Clear,0.6583767658479085,Van,1.9467444858391691,12,15,116.1157227385164,0
9.488894741236953,Medium,Clear,12.657860936569941,Bike,8.352275404174613,13,18,82.52932751892929,1
9.487736976137727,Medium,Rain,7.497836719774956,Truck,14.195679800375563,1,9,82.08643337901249,1
4.788013384073574,Medium,Storm,18.49790336740811,Van,6.224966375561314,9,16,83.93281241806247,0
43.57645499719689,Medium,Clear,1.0866834991268455,Bike,4.904131503820424,15,9,181.9586961781391,1
30.853520563674024,Medium,Rain,14.828281376991876,Van,9.100339847968288,2,19,126.84337796799588,1
35.98748373421019,High,Clear,23.5661188188986,Bike,13.956729008175467,6,13,133.83846688234865,0
2.9880557261985174,High,Clear,4.773027044231738,Truck,12.553917492669356,1,15,40.782217516465536,0
48.55567290377573,Medium,Clear,12.055412523389586,Truck,14.932254160998298,1,10,140.78367140531347,1
41.95724675842024,High,Clear,2.739838799519885,Truck,0.33852874803565636,9,12,173.1135385404287,0
12.192277312557255,Low,Clear,15.82920685040314,Van,1.6928721706914334,4,17,75.64266934407406,1
10.72759842594083,Low,Clear,13.988026174607526,Van,9.14201645049933,9,8,80.56024912389005,1
10.803416472964823,Low,Clear,10.480455343214393,Van,12.308646590007745,11,9,84.87709107875095,1
16.60362766205781,Medium,Rain,13.273737026106659,Bike,4.278665134601498,5,15,71.25690878696699,0
27.188308718347415,High,Clear,22.466079132490748,Van,3.5881663205132814,7,9,153.92802453984933,1
22.73336089482156,Low,Clear,5.309210406621142,Van,11.804636990718013,1,20,74.58071009343557,1
15.978998729506012,High,Rain,1.0528305367810074,Bike,0.8457278077984737,6,15,112.2028658235113,0
